#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,user
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:10.971899232Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:14.342434777Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:21.096607449Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:24.775561883Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:27.802429045Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:35.0351476Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:38.204200228Z,-74,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:45.213987445Z,-68,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:51.980618307Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:58.997108257Z,-74,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:02.081357109Z,-79,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:12.072397681Z,-84,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:19.242304431Z,-84,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:22.320253225Z,-81,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:25.995299311Z,-80,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:10:29.679081924Z,-80,Rssi,vuoy_surroundings,1
